date,open,high,low,close,volume
2024-09-25,28742.4019,30199.9796,28476.6754,29783.5726,112985
2024-09-26,31220.6329,32814.1447,29970.0819,32398.6906,110447
2024-09-27,28965.1744,30617.9294,28233.3007,29450.0596,161325
2024-09-28,31291.5238,32775.9466,30642.6790,32121.7937,108744
2024-09-29,31245.7730,31282.9410,31181.3476,32662.4059,83775
2024-09-30,30658.1235,30728.6652,29088.2388,29676.4571,60118
2024-10-01,30767.9165,32059.2430,29039.5705,30879.4024,59140
2024-10-02,31456.5179,32402.8659,30298.7211,30946.5220,113226
2024-10-03,28890.6947,30286.3173,27295.4343,30121.4021,38765
2024-10-04,30137.0970,31006.7444,28633.7487,28948.7407,68311
2024-10-05,31064.3381,31804.2977,29782.7090,29924.0815,35881
2024-10-06,31313.6573,31549.2970,30156.8608,32303.1681,153152
2024-10-07,28993.4668,29234.8294,27477.9038,29816.2514,79348
2024-10-08,30236.5053,31966.2015,29738.6646,30119.8700,164834
2024-10-09,31100.3754,32286.5402,30380.5225,29765.1656,145323
2024-10-10,29702.9026,30443.3744,28586.7705,29952.6645,186746
2024-10-11,30845.8544,31562.4023,29730.9695,29459.2264,7934
2024-10-12,29338.4162,30288.3782,29205.2041,28653.0471,54612
2024-10-13,29533.9778,30691.2884,28400.5559,29412.7758,127924
2024-10-14,30949.7490,31298.1436,30092.5547,32385.4977,128699
2024-10-15,28833.9554,29466.3411,28178.4912,30196.0733,189537
2024-10-16,30901.8482,32525.4238,30507.0412,31384.8392,181309
2024-10-17,30509.2088,31528.5964,30402.3196,29365.3663,126409
2024-10-18,30056.2215,30327.1374,28547.5986,29309.8537,112692
2024-10-19,30872.5044,30988.2723,29626.9707,31586.4645,139117
2024-10-20,30867.9097,31229.6799,30128.8604,30377.5947,53359
2024-10-21,30075.0078,30989.3945,29750.3957,28942.4662,94366
2024-10-22,30655.2524,31177.3376,30400.9848,29651.5940,103332
2024-10-23,29849.1736,29941.3463,28400.4094,28368.7034,195746
2024-10-24,31176.7688,31687.7724,29855.2577,32594.4318,61561
2024-10-25,29958.4320,31520.4932,28325.7645,28639.4075,157296
2024-10-26,30515.1608,31168.5103,28794.4124,30464.0678,164995
2024-10-27,29534.9308,31065.5698,28896.6466,30770.3238,142060
2024-10-28,29258.8386,30664.7140,28482.4024,29819.8601,48951
2024-10-29,30504.8476,31631.8313,28989.3854,31283.0746,133576
2024-10-30,30273.1590,31255.3850,30132.3513,30122.0767,9382
2024-10-31,30648.7669,30824.6984,29022.2586,31404.1924,41372
2024-11-01,30444.4205,32151.7852,29990.3613,30706.2494,54643
2024-11-02,29987.7127,30197.8112,28534.4920,29769.5915,48015
2024-11-03,29448.2518,30883.0612,29300.5154,29742.0418,86008
2024-11-04,29109.8065,30266.8222,27553.9017,30418.2703,35267
2024-11-05,30743.4373,31790.1379,29654.5145,30661.8170,196395
2024-11-06,28997.0774,29759.3075,27570.6622,30430.7087,125787
2024-11-07,31106.6156,31890.9159,31042.6774,30195.0520,174356
2024-11-08,29432.5701,29717.6471,28956.1501,29478.7710,112172
2024-11-09,31445.5281,32473.2448,31427.3219,32733.4210,4861
2024-11-10,29727.0200,30089.4965,28029.6036,28662.1099,15754
2024-11-11,29259.4796,30054.3990,28421.2183,29920.6682,172966
2024-11-12,28765.3307,28771.9441,28640.1967,27845.1465,154307
2024-11-13,30784.7448,30848.5546,30410.8032,30317.5159,174501
2024-11-14,28926.0145,29620.7412,27734.8462,29146.1437,191001
2024-11-15,30702.6374,31888.4657,30029.3706,31135.3965,192083
2024-11-16,30218.8163,30584.0229,28653.7856,30880.4223,2796
2024-11-17,31319.0484,32527.0853,31066.7235,32154.5087,174935
2024-11-18,28535.3732,29192.8156,27557.9728,28856.7399,192159
2024-11-19,30895.7447,32123.4971,29169.1989,32289.4154,78382
2024-11-20,30662.6328,30874.8043,30391.3206,30814.9615,90203
2024-11-21,30236.3193,31791.2684,30047.3234,29384.3162,98611
2024-11-22,29228.3504,30534.8124,27490.3664,28925.9381,115869
2024-11-23,30121.4951,31641.8454,29970.7212,31585.6084,191612
2024-11-24,30779.5922,31771.6735,29235.5517,30329.4421,189164
2024-11-25,30426.4212,31036.4017,29681.6889,31193.6855,60516
2024-11-26,30978.3693,32360.1475,30933.1010,29972.9506,76495
2024-11-27,29185.4349,30514.4691,27848.1929,28022.6397,133825
2024-11-28,29583.4563,30480.8750,28155.9407,29335.3282,36865
2024-11-29,30934.4923,31038.9673,30554.1497,32144.7964,196693
2024-11-30,31392.4320,32904.1897,31295.2568,30795.3600,136427
2024-12-01,30914.4552,31355.4954,29367.5268,31859.3209,74264
2024-12-02,31196.9451,31732.9985,29638.1505,30641.3699,49356
2024-12-03,31155.7269,31663.6857,30144.9177,30061.9973,48968
2024-12-04,29440.8081,29764.2635,28725.6478,28193.9664,125571
2024-12-05,28703.9206,29067.3847,28239.4777,30081.6624,167619
2024-12-06,29565.9113,30774.4030,28215.9832,30417.9452,88896
2024-12-07,29017.7490,29817.2669,27574.2848,29928.1522,152408
2024-12-08,30752.8112,32005.2873,29505.5095,31776.5165,199671
2024-12-09,30754.3146,32318.4727,28968.8430,31423.6352,37617
2024-12-10,31379.3805,31739.4955,31116.9824,30313.7047,112626
2024-12-11,30132.1557,31719.4198,29531.3784,29982.8334,61662
2024-12-12,30254.9728,30752.4196,28586.5822,31360.4969,9233
2024-12-13,30323.5815,31053.7364,29409.4161,31406.1847,197852
2024-12-14,31248.6736,32925.6230,29579.5415,32270.7638,130964
2024-12-15,29534.8934,30960.0689,29513.2584,29736.4313,89025
2024-12-16,28642.6230,28768.1741,28111.1500,27599.8547,15949
2024-12-17,29938.6035,30335.6633,29041.1436,30932.6856,131296
2024-12-18,29992.9868,31198.6619,28811.7106,28630.3700,15240
2024-12-19,28982.1742,30295.2667,28188.6971,29622.1452,6511
2024-12-20,29877.6225,30955.3794,29388.6741,29970.2454,123661
2024-12-21,28772.9609,29390.3843,27079.1620,29859.7728,198869
2024-12-22,30178.3682,30509.4067,29886.9705,31550.0333,104822
2024-12-23,29611.4681,31005.0778,28210.3404,30853.9746,56433
2024-12-24,29108.2038,30321.9292,28773.6115,29108.3780,188615
2024-12-25,28628.6044,28733.3642,28513.9081,27661.5623,151020
2024-12-26,30931.1598,31052.9165,30076.3226,30539.9475,71231
2024-12-27,31066.9819,32169.6274,30412.4110,30310.9593,34253
2024-12-28,30887.1343,31192.0301,29552.5896,30884.0242,165466
2024-12-29,30711.2377,31112.2428,29724.4080,31602.8034,76235
2024-12-30,29645.2459,30901.0994,28792.6522,30028.8076,199543
2024-12-31,31058.3443,31474.2609,30839.4919,30118.4297,144413
2025-01-01,29076.6596,30436.8566,28505.9670,29573.0368,126457
2025-01-02,28865.2936,29495.7495,27782.7896,28997.8009,15193
2025-01-03,30400.0535,30940.6992,29359.1943,31243.3868,66774
2025-01-04,31205.4841,31894.7942,30049.9785,29740.5327,171342
2025-01-05,28962.2410,29207.3525,28039.8920,28140.4458,193953
2025-01-06,29928.0338,31041.6629,28203.6588,29990.3421,75755
2025-01-07,28848.0522,30564.8344,27759.6667,28882.9441,35515
2025-01-08,30220.3398,30915.5686,29938.3772,29568.1672,77446
2025-01-09,28647.0769,29582.6401,27345.2177,28781.3601,158529
2025-01-10,29928.7454,31118.5332,29349.8926,29344.0474,112835
2025-01-11,30832.9087,31468.5466,29451.2531,31980.3911,151573
2025-01-12,31134.0025,32591.1610,30636.7263,31078.3729,165810
2025-01-13,30243.6314,31742.2651,28839.0213,30396.3509,100087
2025-01-14,30600.5028,32199.1052,29815.3066,29466.1742,108260
2025-01-15,30366.3976,32097.9974,28599.7989,31066.6322,158321
2025-01-16,30362.4228,31441.2003,30070.2489,31770.8576,31965
2025-01-17,29154.0374,30884.1943,27754.8416,28919.5489,42684
2025-01-18,28829.4451,30392.0621,27455.9034,28824.3367,35254
2025-01-19,31019.6673,32752.6563,29343.8441,31849.7755,3501
2025-01-20,30184.2425,30888.0410,29178.9214,29087.7175,83828
2025-01-21,30039.8316,30922.1269,29473.7141,30314.0961,191981
2025-01-22,30621.2670,31675.5252,29624.4121,31449.8466,20185
2025-01-23,30297.2892,31472.5499,29323.8059,31534.7188,43492
2025-01-24,28834.1123,29442.6862,27252.1531,30001.1443,145142
2025-01-25,30910.9087,32679.0375,29119.3220,29518.5871,98577
2025-01-26,30872.3294,31776.2493,29951.6537,30427.4322,135363
2025-01-27,30857.2034,31558.8926,29219.9109,29375.6386,86099
2025-01-28,28546.3294,28896.2489,27731.8389,29812.3342,79522
2025-01-29,29502.0367,30668.5396,27946.7484,30802.6801,82637
2025-01-30,31321.6560,33067.6296,31003.0153,31825.1429,22746
2025-01-31,28968.2205,29693.9240,27973.2778,30180.8021,127017
2025-02-01,30905.1495,31305.9089,29850.9452,32025.2458,174575
2025-02-02,30766.2973,31190.4276,29633.7846,30881.7555,26241
2025-02-03,29786.4606,30449.3544,29196.7107,29885.0930,171343
2025-02-04,28934.3756,30413.9520,27433.4422,27578.7601,85859
2025-02-05,29518.9005,31049.9738,29245.3157,29196.9358,4037
2025-02-06,29160.3362,30071.7487,27704.3445,30047.3442,40106
2025-02-07,29134.4627,30797.8603,27404.2946,29515.1428,151619
2025-02-08,30898.3848,31750.7620,30827.6734,29462.1304,139302
2025-02-09,29631.7978,29801.6428,28522.9109,29938.0629,9286
2025-02-10,30972.8236,31331.5018,29746.3093,32275.6645,139353
2025-02-11,29880.4369,30054.3277,28096.1059,28454.9269,120663
2025-02-12,28841.4025,29477.9180,27714.3421,27430.3993,64052
2025-02-13,29948.9939,30671.0913,29701.0491,29436.8836,188375
2025-02-14,29898.6663,30982.7309,28242.3263,30142.9055,16899
2025-02-15,30050.9333,30597.1075,29197.6287,31279.2951,190322
2025-02-16,30610.7302,31438.5940,30216.4151,31380.2117,11510
2025-02-17,30190.4558,31573.2859,28456.1006,30453.0529,80024
2025-02-18,29319.6522,29403.4650,27743.6056,28425.2449,35302
2025-02-19,30520.6495,31083.1006,29483.9478,30606.7131,95481
2025-02-20,29135.2789,29599.4713,27570.6677,28683.6199,129230
2025-02-21,28991.0529,30661.9531,27794.4905,28681.7920,47320
2025-02-22,29196.4502,30904.9966,28137.1623,29278.5740,4869
2025-02-23,29657.2818,30867.6830,29207.7034,30763.9346,94876
2025-02-24,30677.5422,31944.9415,30072.1609,31353.8194,101783
2025-02-25,30109.3710,30628.3680,28691.3700,29009.7012,80816
2025-02-26,30326.7664,31911.9159,29394.7681,29339.2835,109055
2025-02-27,30850.3321,31515.6151,29525.6861,30494.7312,142910
2025-02-28,31367.8854,32375.5362,30319.0642,32339.4767,188572
2025-03-01,29683.1122,31324.4752,27949.5838,29067.2168,162902
2025-03-02,30615.0323,31513.2118,29824.7230,31957.5801,17923
2025-03-03,28932.7737,29374.7253,28848.6937,28489.5124,166545
2025-03-04,31332.3925,32818.2200,31108.1846,32382.8598,182135
2025-03-05,29645.5674,30202.5318,29561.2212,28271.4512,159344
2025-03-06,30238.6318,30460.5544,28446.0888,30667.4873,168980
2025-03-07,28668.9505,28767.6645,28645.1145,30147.2312,171725
2025-03-08,30234.3145,30335.8465,28959.2323,29269.7199,108215
2025-03-09,30486.3764,31833.2657,28842.0505,29937.1306,167633
2025-03-10,31458.3172,31909.2469,29778.0368,31520.3841,95556
2025-03-11,28885.3744,30193.9238,27285.8181,28741.6695,13980
2025-03-12,31177.5684,32449.7339,30917.8903,31764.5101,112970
2025-03-13,28907.1621,29049.8103,27545.5874,30347.7965,65145
2025-03-14,31019.0147,31232.4679,30310.4775,32471.5945,126717
2025-03-15,31447.8106,33031.8602,30772.5613,30342.0403,167640
2025-03-16,30997.5704,31653.2865,29734.0762,29793.0910,170955
2025-03-17,30614.7823,31774.7140,30574.0065,29813.9008,137430
2025-03-18,30091.1861,30504.8060,28383.8594,29995.7959,190678
2025-03-19,30114.5679,31545.0101,29226.0950,30899.5944,102453
2025-03-20,30798.0504,31314.5750,30073.0548,31375.7793,186122
2025-03-21,29050.1891,29744.1544,27466.1915,28825.1842,94257
2025-03-22,29639.4969,30637.3759,29183.8970,29972.0326,184302
2025-03-23,28798.2951,30586.1351,27609.5749,29983.9164,31733
2025-03-24,29442.3696,30923.8094,29306.2583,29396.6137,125112
2025-03-25,29373.6647,31037.4902,27944.5226,29266.1720,42334
2025-03-26,31179.9483,31495.3155,30317.0224,31478.5655,15977
2025-03-27,29695.6675,31334.7585,28485.0137,28799.6000,186990
2025-03-28,30694.5832,31189.1353,30444.7196,29321.1813,86746
2025-03-29,31376.6638,31617.5343,31113.6164,31888.1517,116711
2025-03-30,30005.1393,30221.2127,29337.2861,29447.0214,165435
