date,open,high,low,close,volume
2024-09-25,0.9978,1.0450,0.9912,0.9713,100396
2024-09-26,0.9593,0.9810,0.9166,1.0076,180322
2024-09-27,1.0235,1.0789,1.0103,1.0242,168800
2024-09-28,0.9910,1.0012,0.9363,0.9770,49310
2024-09-29,0.9595,1.0083,0.9266,0.9776,39391
2024-09-30,1.0204,1.0367,0.9759,1.0186,102536
2024-10-01,0.9693,1.0193,0.9656,1.0081,175290
2024-10-02,0.9783,0.9906,0.9398,0.9375,185598
2024-10-03,0.9825,0.9895,0.9764,1.0067,190432
2024-10-04,1.0409,1.0904,0.9924,1.0203,177445
2024-10-05,0.9836,1.0418,0.9321,1.0102,191567
2024-10-06,1.0464,1.0879,0.9893,1.0298,55406
2024-10-07,1.0040,1.0241,0.9899,0.9972,70842
2024-10-08,1.0041,1.0056,0.9586,1.0272,17437
2024-10-09,1.0451,1.0970,1.0067,1.0454,157969
2024-10-10,1.0207,1.0596,0.9898,1.0421,145838
2024-10-11,0.9529,0.9640,0.9208,0.9796,162370
2024-10-12,1.0292,1.0714,1.0263,1.0521,38810
2024-10-13,0.9690,0.9836,0.9679,0.9256,199009
2024-10-14,0.9577,0.9880,0.9052,0.9781,85197
2024-10-15,1.0441,1.0839,1.0120,1.0510,52134
2024-10-16,0.9568,1.0053,0.9379,0.9988,197929
2024-10-17,1.0373,1.0525,0.9802,0.9908,79609
2024-10-18,0.9609,1.0158,0.9480,0.9443,9788
2024-10-19,0.9735,0.9905,0.9357,0.9602,193872
2024-10-20,0.9734,0.9824,0.9340,0.9481,14347
2024-10-21,0.9655,0.9665,0.9213,0.9596,25330
2024-10-22,0.9720,0.9826,0.9491,0.9648,46786
2024-10-23,0.9914,1.0310,0.9861,0.9453,154197
2024-10-24,0.9707,1.0149,0.9469,1.0018,49056
2024-10-25,0.9680,1.0077,0.9259,0.9760,51654
2024-10-26,1.0456,1.0827,0.9869,1.0055,69243
2024-10-27,0.9839,1.0296,0.9526,1.0032,198512
2024-10-28,0.9918,0.9987,0.9594,1.0022,41003
2024-10-29,1.0209,1.0471,0.9639,0.9818,72727
2024-10-30,1.0067,1.0583,0.9731,0.9569,35738
2024-10-31,0.9671,0.9768,0.9343,0.9918,119931
2024-11-01,1.0476,1.0702,1.0207,1.0210,6353
2024-11-02,0.9717,1.0227,0.9531,0.9965,126230
2024-11-03,1.0145,1.0582,1.0070,0.9666,74168
2024-11-04,0.9567,0.9866,0.9117,0.9870,57564
2024-11-05,0.9828,1.0426,0.9431,0.9852,128421
2024-11-06,0.9733,1.0263,0.9238,0.9913,130179
2024-11-07,1.0027,1.0562,0.9933,1.0071,49580
2024-11-08,0.9580,0.9805,0.9465,0.9407,187897
2024-11-09,1.0223,1.0332,0.9788,0.9895,124353
2024-11-10,0.9962,1.0415,0.9453,0.9467,178938
2024-11-11,1.0417,1.0742,0.9902,1.0008,120119
2024-11-12,1.0078,1.0167,0.9897,1.0168,13265
2024-11-13,0.9655,1.0008,0.9176,0.9384,148586
2024-11-14,0.9899,1.0152,0.9367,1.0156,127422
2024-11-15,0.9677,1.0103,0.9204,0.9917,112866
2024-11-16,0.9808,1.0321,0.9644,0.9561,49078
2024-11-17,0.9514,1.0088,0.8966,0.9931,117564
2024-11-18,1.0065,1.0279,0.9548,1.0470,191377
2024-11-19,0.9680,0.9699,0.9119,0.9530,109530
2024-11-20,1.0482,1.0482,1.0059,1.0930,152555
2024-11-21,0.9911,1.0135,0.9626,1.0213,19429
2024-11-22,1.0123,1.0582,0.9642,0.9847,119673
2024-11-23,0.9934,1.0366,0.9743,0.9494,121310
2024-11-24,1.0461,1.0931,1.0185,1.0750,163580
2024-11-25,1.0397,1.0621,0.9850,1.0893,53022
2024-11-26,1.0482,1.0552,1.0215,1.0063,30082
2024-11-27,0.9821,0.9893,0.9744,1.0214,109542
2024-11-28,1.0253,1.0414,1.0061,1.0229,17647
2024-11-29,1.0406,1.0444,0.9923,1.0451,141725
2024-11-30,0.9673,1.0036,0.9432,0.9238,79366
2024-12-01,1.0029,1.0040,0.9487,0.9795,191975
2024-12-02,0.9758,0.9980,0.9388,0.9577,189774
2024-12-03,0.9842,0.9925,0.9796,1.0169,85399
2024-12-04,0.9651,1.0215,0.9549,0.9317,137774
2024-12-05,0.9768,1.0232,0.9236,1.0265,46353
2024-12-06,0.9646,0.9978,0.9506,0.9737,43582
2024-12-07,1.0115,1.0295,0.9898,0.9759,118993
2024-12-08,1.0125,1.0490,0.9681,0.9691,119304
2024-12-09,1.0482,1.0548,0.9957,1.0230,82156
2024-12-10,0.9826,1.0012,0.9298,1.0313,139889
2024-12-11,0.9997,1.0588,0.9413,0.9600,49259
2024-12-12,0.9621,0.9943,0.9274,0.9683,32090
2024-12-13,0.9955,1.0383,0.9380,1.0439,23361
2024-12-14,1.0101,1.0235,0.9773,1.0297,75817
2024-12-15,0.9678,1.0133,0.9675,0.9752,155477
2024-12-16,0.9988,1.0148,0.9853,1.0322,39546
2024-12-17,1.0298,1.0680,1.0185,0.9961,121931
2024-12-18,1.0186,1.0579,0.9947,1.0305,47786
2024-12-19,1.0050,1.0373,0.9817,1.0278,46303
2024-12-20,1.0055,1.0583,0.9757,1.0026,57859
2024-12-21,1.0103,1.0324,0.9874,1.0168,68261
2024-12-22,1.0057,1.0408,0.9656,1.0241,16459
2024-12-23,1.0026,1.0484,1.0012,1.0259,163487
2024-12-24,1.0024,1.0252,0.9913,1.0055,94964
2024-12-25,0.9529,0.9804,0.9126,0.9706,141831
2024-12-26,0.9793,0.9813,0.9547,0.9372,113126
2024-12-27,0.9572,0.9647,0.9528,0.9795,169403
2024-12-28,0.9592,1.0166,0.9567,0.9726,187717
2024-12-29,1.0440,1.0704,1.0272,1.0023,112601
2024-12-30,1.0231,1.0333,1.0086,1.0054,42880
2024-12-31,1.0039,1.0358,0.9756,1.0128,136556
2025-01-01,0.9521,1.0107,0.9096,0.9960,48985
2025-01-02,0.9912,1.0124,0.9522,0.9633,7712
2025-01-03,1.0237,1.0305,0.9747,0.9978,87138
2025-01-04,1.0085,1.0278,0.9920,1.0232,99171
2025-01-05,0.9883,1.0307,0.9716,1.0252,117522
2025-01-06,0.9955,0.9988,0.9412,0.9632,89437
2025-01-07,0.9908,1.0006,0.9771,1.0391,29781
2025-01-08,1.0184,1.0572,0.9929,0.9801,86335
2025-01-09,1.0378,1.0387,0.9958,1.0369,74979
2025-01-10,0.9735,1.0112,0.9338,0.9915,129973
2025-01-11,1.0412,1.0739,1.0017,1.0275,30191
2025-01-12,1.0304,1.0440,0.9883,1.0629,31176
2025-01-13,1.0429,1.0880,1.0120,1.0508,70928
2025-01-14,0.9722,0.9889,0.9584,1.0011,142220
2025-01-15,0.9550,0.9655,0.9203,0.9267,169793
2025-01-16,0.9622,0.9899,0.9451,0.9326,119670
2025-01-17,0.9926,1.0244,0.9779,0.9523,10159
2025-01-18,0.9666,0.9845,0.9100,1.0036,6163
2025-01-19,1.0273,1.0477,0.9801,1.0693,13614
2025-01-20,1.0232,1.0581,1.0111,1.0600,176162
2025-01-21,1.0376,1.0842,1.0167,1.0474,141607
2025-01-22,1.0173,1.0600,1.0037,1.0521,191026
2025-01-23,1.0124,1.0149,0.9827,1.0115,155548
2025-01-24,1.0153,1.0590,0.9817,1.0282,85358
2025-01-25,0.9603,0.9770,0.9152,0.9186,74134
2025-01-26,0.9620,0.9964,0.9025,0.9975,136026
2025-01-27,1.0174,1.0643,0.9947,0.9707,6773
2025-01-28,1.0433,1.0913,0.9889,1.0104,164802
2025-01-29,1.0361,1.0924,1.0169,1.0281,15571
2025-01-30,1.0142,1.0687,1.0115,0.9979,130263
